precision,recall,f1-score,support
0.9912280701754386,0.9416666666666667,0.9658119658119658,120.0
0.7317073170731707,1.0,0.8450704225352113,120.0
0.9375,1.0,0.967741935483871,120.0
0.9423076923076923,0.8166666666666667,0.875,120.0
1.0,0.975,0.9873417721518988,120.0
0.0,0.0,0.0,0.0
1.0,0.775,0.8732394366197183,120.0
0.9180555555555555,0.9180555555555555,0.9180555555555555,0.9180555555555555
0.800391868508043,0.7869047619047619,0.7877436475146664,720.0
0.9337905132593837,0.9180555555555555,0.9190342554337775,720.0
