precision,recall,f1-score,support
0.9912280701754386,0.9416666666666667,0.9658119658119658,120.0
0.8823529411764706,1.0,0.9375,120.0
1.0,0.975,0.9873417721518988,120.0
0.9836065573770492,1.0,0.9917355371900827,120.0
1.0,0.8416666666666667,0.9140271493212669,120.0
0.0,0.0,0.0,0.0
0.9230769230769231,1.0,0.96,120.0
0.9597222222222223,0.9597222222222223,0.9597222222222223,0.9597222222222223
0.8257520702579831,0.8226190476190476,0.8223452034964592,720.0
0.9633774153009802,0.9597222222222223,0.9594027374125356,720.0
